dataset,experiment,model,backbone,probe,selected_layer_id,selected_slot,selected_layer_label,config_status,best_config_json,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,feature_view,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,optuna_enabled,best_trial,n_trials,config_id,config_source,evidence_path,excel_workbook,excel_sheet,excel_range,val_primary_metric,val_accuracy,notes
MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,9,NULL,9,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE-v2,A13:K13,88.170,93.377,no recovered config and no Selected LR in current Excel
MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE-v2,A6:K6,40.142,65.875,no recovered config for the current best row
MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE-v2,A10:K10,75.632,86.805,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-13B,Attentive,24,NULL,noise_0.2_block_24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,LTX-Video,N85:X85,86.957,93.124,no recovered config and no Selected LR in current Excel
MVP,ltx,LTX-Video,LTX-13B,Linear,18,NULL,noise_0.6_block_24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,LTX-Video,N20:X20,55.106,74.469,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-13B,MLP,22,NULL,noise_0.5_block_24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,LTX-Video,N64:X64,70.981,83.974,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-2B,Attentive,27,NULL,27,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,LTX-Video,A83:K83,NULL,NULL,no recovered config and no Selected LR in current Excel
MVP,ltx,LTX-Video,LTX-2B,Linear,37,NULL,noise_0.1_block_7,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,LTX-Video,A33:K33,29.828,59.505,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-2B,MLP,33,NULL,noise_0.2_block_7,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,LTX-Video,A51:K51,41.355,66.684,no recovered config for the current best row
MVP,main,V-JEPA,ViT-H/16,Attentive,24,NULL,Layer 0.75,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA,N14:X14,94.540,96.815,no recovered config and no Selected LR in current Excel
MVP,main,V-JEPA,ViT-H/16,Linear,32,NULL,Final layer,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":32,""lr"":0.008013349589915042,""slot"":null,""weight_decay"":1.086383341945677e-08}",0.008013349589915042,1.086383341945677e-08,64,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,10,20,mvp__jepa_v1__linear__layer_32,recovered_best_configs.json,output/training/mvp/linear/mvp_jepa_v1_linear_layers_22484514.out,mvp_primary_db.xlsx,V-JEPA,N3:X3,49.343,71.689,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA,ViT-H/16,MLP,32,NULL,Final layer,VERIFIED_FULL,"{""batch_size"":64,""dropout"":0.17501694660620298,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[1024,512,256],""layer"":32,""lr"":0.0006506252713093818,""slot"":null,""weight_decay"":5.827061512212219e-07}",0.0006506252713093818,5.827061512212219e-07,64,NULL,2000,true,5,pooled,"[1024,512,256]",0.17501694660620298,NULL,NULL,NULL,NULL,false,17,20,mvp__jepa_v1__mlp__layer_32,recovered_best_configs.json,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_jepa_v1_mlp_layers_22594123.out,mvp_primary_db.xlsx,V-JEPA,N7:X7,91.102,95.197,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2,ViT-G/16,Attentive,30,NULL,Layer 0.75,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2,N14:X14,94.034,96.411,no recovered config and no Selected LR in current Excel
MVP,main,V-JEPA 2,ViT-G/16,Linear,40,NULL,Final layer,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":40,""lr"":0.0025385907507398863,""slot"":null,""weight_decay"":0.0003306331267262618}",0.0025385907507398863,0.0003306331267262618,64,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,18,20,mvp__jepa_v2__linear__layer_40,recovered_best_configs.json,output/training/mvp/linear/mvp_jepa_v2_linear_layers_22392307.out,mvp_primary_db.xlsx,V-JEPA 2,N3:X3,48.938,70.425,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2,ViT-G/16,MLP,40,NULL,Final layer,VERIFIED_FULL,"{""batch_size"":64,""dropout"":0.15501861355280072,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[1024,512,256],""layer"":40,""lr"":0.000591918416083762,""slot"":null,""weight_decay"":0.0001666091065162824}",0.000591918416083762,0.0001666091065162824,64,NULL,2000,true,5,pooled,"[1024,512,256]",0.15501861355280072,NULL,NULL,NULL,NULL,false,15,20,mvp__jepa_v2__mlp__layer_40,recovered_best_configs.json,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_jepa_v2_mlp_layers_22594132.out,mvp_primary_db.xlsx,V-JEPA 2,N7:X7,87.765,93.124,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,48,NULL,Final layer,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,AN11:AX11,94.944,97.169,no recovered config and no Selected LR in current Excel
MVP,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,48,NULL,Final layer,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":48,""lr"":0.00500366212062638,""slot"":null,""weight_decay"":2.2631709120790008e-06}",0.00500366212062638,2.2631709120790008e-06,64,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,12,20,mvp__jepa_v2_1__linear__layer_48,recovered_best_configs.json,output/training/mvp/linear/mvp_jepa_v2_1_linear_layers_22392310.out,mvp_primary_db.xlsx,V-JEPA 2.1,AN3:AX3,44.085,66.684,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,38,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":38,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,mvp__jepa_v2_1__mlp__layer_38,recovered_best_configs.json,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_jepa_v2_1_mlp_layers_22594124.out,mvp_primary_db.xlsx,V-JEPA 2.1,AN10:AX10,74.520,85.389,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE,ViT-H/16,Attentive,24,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":24,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",1e-05,0.01,2,2,30,true,5,tokens,NULL,NULL,16,1,2.0,0.2,false,NULL,NULL,mvp__videomae__temporal_attn__layer_24,recovered_best_configs.json,logs/mvp/temporal_attn/videomae_layer24_lr1e-5.log,mvp_primary_db.xlsx,VideoMAE,N14:X14,93.023,96.259,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE,ViT-H/16,Linear,24,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":24,""lr"":0.00462327097832658,""slot"":null,""weight_decay"":6.074304269028365e-05}",0.00462327097832658,6.074304269028365e-05,32,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,14,20,mvp__videomae__linear__layer_24,recovered_best_configs.json,output/training/mvp/linear/mvp_videomae_linear_layers_22392313.out,mvp_primary_db.xlsx,VideoMAE,N6:X6,37.614,64.510,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE,ViT-H/16,MLP,24,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":24,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,mvp__videomae__mlp__layer_24,recovered_best_configs.json,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_videomae_mlp_layers_22594133.out,mvp_primary_db.xlsx,VideoMAE,N10:X10,68.857,82.912,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE-v2,ViT-G/16,Attentive,30,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":30,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",1e-05,0.01,2,2,30,true,5,tokens,NULL,NULL,16,1,2.0,0.2,false,NULL,NULL,mvp__videomae_v2__temporal_attn__layer_30,recovered_best_configs.json,logs/mvp/temporal_attn/videomae_v2_layer30_lr1e-5.log,mvp_primary_db.xlsx,VideoMAE-v2,AA14:AK14,92.518,95.804,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE-v2,ViT-G/16,Linear,20,NULL,Layer 0.5,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":20,""lr"":0.004099626472340928,""slot"":null,""weight_decay"":2.978878852837696e-06}",0.004099626472340928,2.978878852837696e-06,32,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,19,20,mvp__videomae_v2__linear__layer_20,recovered_best_configs.json,output/training/mvp/linear/mvp_videomae_v2_linear_layers_22392314.out,mvp_primary_db.xlsx,VideoMAE-v2,AA5:AK5,39.535,64.863,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE-v2,ViT-G/16,MLP,20,NULL,Layer 0.5,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":20,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,mvp__videomae_v2__mlp__layer_20,recovered_best_configs.json,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_videomae_v2_mlp_layers_22594139.out,mvp_primary_db.xlsx,VideoMAE-v2,AA9:AK9,68.453,82.710,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,same_L,V-JEPA,ViT-L/16,Attentive,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA,A13:K13,94.439,96.815,no recovered config and no Selected LR in current Excel
MVP,same_L,V-JEPA,ViT-L/16,Linear,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA,A5:K5,49.747,70.020,no recovered config for the current best row
MVP,same_L,V-JEPA,ViT-L/16,MLP,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA,A9:K9,83.215,91.001,no recovered config for the current best row
MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2,A14:K14,95.046,97.270,no recovered config and no Selected LR in current Excel
MVP,same_L,V-JEPA 2,ViT-L/16,Linear,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2,A6:K6,55.410,73.407,no recovered config for the current best row
MVP,same_L,V-JEPA 2,ViT-L/16,MLP,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2,A10:K10,89.181,94.085,no recovered config for the current best row
MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,N14:X14,93.023,95.905,no recovered config and no Selected LR in current Excel
MVP,same_L,V-JEPA 2.1,ViT-L/16,Linear,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,N5:X5,47.422,68.655,no recovered config for the current best row
MVP,same_L,V-JEPA 2.1,ViT-L/16,MLP,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,N10:X10,73.711,84.884,no recovered config for the current best row
MVP,same_L,VideoMAE,ViT-L/16,Attentive,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE,A14:K14,91.810,95.703,no recovered config and no Selected LR in current Excel
MVP,same_L,VideoMAE,ViT-L/16,Linear,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE,A6:K6,41.355,65.925,no recovered config for the current best row
MVP,same_L,VideoMAE,ViT-L/16,MLP,24,NULL,24,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE,A10:K10,67.745,82.154,no recovered config for the current best row
MVP,same_L,VideoMAE-v2,ViT-L/16,Attentive,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE-v2,N13:X13,88.777,93.579,no recovered config and no Selected LR in current Excel
MVP,same_L,VideoMAE-v2,ViT-L/16,Linear,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE-v2,N5:X5,44.186,68.301,no recovered config for the current best row
MVP,same_L,VideoMAE-v2,ViT-L/16,MLP,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,VideoMAE-v2,N9:X9,73.610,84.833,no recovered config for the current best row
